data,loja_id,produto_id,categoria,vendas,preco_unitario,promocao,feriado
2023-01-01,L001,P001,Eletrônicos,61,123.4,0,0
2023-01-01,L001,P002,Vestuário,77,23.41,0,0
2023-01-01,L001,P003,Vestuário,140,148.64,0,0
2023-01-01,L001,P004,Vestuário,97,130.44,0,0
2023-01-01,L001,P005,Eletrônicos,122,21.67,0,0
2023-01-01,L001,P006,Vestuário,193,131.0,0,0
2023-01-01,L001,P007,Brinquedos,124,179.73,0,0
2023-01-01,L001,P008,Eletrônicos,149,109.06,0,1
2023-01-01,L001,P009,Vestuário,36,121.9,0,0
2023-01-01,L001,P010,Higiene,40,46.37,0,0
2023-01-01,L002,P001,Higiene,172,100.85,0,0
2023-01-01,L002,P002,Alimentos,44,144.99,0,0
2023-01-01,L002,P003,Alimentos,254,143.69,0,0
2023-01-01,L002,P004,Higiene,98,66.41,0,1
2023-01-01,L002,P005,Eletrônicos,45,70.13,0,0
2023-01-01,L002,P006,Alimentos,244,55.54,0,0
2023-01-01,L002,P007,Vestuário,115,137.55,0,0
2023-01-01,L002,P008,Higiene,110,172.43,0,0
2023-01-01,L002,P009,Vestuário,226,56.62,1,1
2023-01-01,L002,P010,Brinquedos,143,81.72,0,0
2023-01-01,L003,P001,Brinquedos,137,195.85,1,0
2023-01-01,L003,P002,Alimentos,135,28.89,0,0
2023-01-01,L003,P003,Brinquedos,72,91.06,0,0
2023-01-01,L003,P004,Alimentos,57,129.54,0,0
2023-01-01,L003,P005,Alimentos,253,139.52,1,1
2023-01-01,L003,P006,Eletrônicos,32,132.09,0,0
2023-01-01,L003,P007,Vestuário,181,98.49,0,0
2023-01-01,L003,P008,Brinquedos,123,97.96,1,0
2023-01-01,L003,P009,Brinquedos,169,129.61,0,1
2023-01-01,L003,P010,Higiene,81,97.91,0,0
2023-01-01,L004,P001,Higiene,173,131.31,0,0
2023-01-01,L004,P002,Eletrônicos,153,171.11,1,1
2023-01-01,L004,P003,Eletrônicos,58,87.76,0,0
2023-01-01,L004,P004,Vestuário,78,92.09,0,0
2023-01-01,L004,P005,Eletrônicos,201,116.26,1,1
2023-01-01,L004,P006,Brinquedos,50,62.78,1,0
2023-01-01,L004,P007,Alimentos,121,96.65,0,0
2023-01-01,L004,P008,Vestuário,67,31.66,0,0
2023-01-01,L004,P009,Brinquedos,165,177.17,0,0
2023-01-01,L004,P010,Brinquedos,86,144.87,0,0
2023-01-01,L005,P001,Alimentos,131,47.72,0,0
2023-01-01,L005,P002,Vestuário,45,76.78,0,0
2023-01-01,L005,P003,Eletrônicos,60,77.6,0,0
2023-01-01,L005,P004,Eletrônicos,79,38.07,0,0
2023-01-01,L005,P005,Vestuário,39,128.3,0,0
2023-01-01,L005,P006,Higiene,241,106.4,0,0
2023-01-01,L005,P007,Higiene,102,175.52,1,0
2023-01-01,L005,P008,Alimentos,121,39.91,0,0
2023-01-01,L005,P009,Eletrônicos,120,167.42,0,0
2023-01-01,L005,P010,Vestuário,48,69.71,1,0
2023-01-08,L001,P001,Eletrônicos,164,25.24,0,0
2023-01-08,L001,P002,Vestuário,149,89.24,0,0
2023-01-08,L001,P003,Higiene,176,181.69,0,0
2023-01-08,L001,P004,Brinquedos,131,171.69,1,0
2023-01-08,L001,P005,Alimentos,97,152.46,1,0
2023-01-08,L001,P006,Higiene,95,168.08,0,0
2023-01-08,L001,P007,Higiene,94,99.53,0,1
2023-01-08,L001,P008,Brinquedos,85,105.76,0,0
2023-01-08,L001,P009,Alimentos,162,113.21,0,1
2023-01-08,L001,P010,Vestuário,142,15.02,0,1
2023-01-08,L002,P001,Alimentos,139,134.58,0,0
2023-01-08,L002,P002,Brinquedos,96,186.65,0,0
2023-01-08,L002,P003,Eletrônicos,58,155.73,0,0
2023-01-08,L002,P004,Higiene,109,125.53,0,0
2023-01-08,L002,P005,Eletrônicos,101,18.94,0,0
2023-01-08,L002,P006,Alimentos,194,96.85,0,0
2023-01-08,L002,P007,Vestuário,119,20.87,0,0
2023-01-08,L002,P008,Brinquedos,115,183.1,0,0
2023-01-08,L002,P009,Vestuário,76,145.95,0,0
2023-01-08,L002,P010,Eletrônicos,75,62.54,1,0
2023-01-08,L003,P001,Alimentos,42,97.01,0,0
2023-01-08,L003,P002,Higiene,82,180.19,0,0
2023-01-08,L003,P003,Brinquedos,64,146.31,0,0
2023-01-08,L003,P004,Higiene,70,151.88,0,0
2023-01-08,L003,P005,Brinquedos,200,182.15,1,1
2023-01-08,L003,P006,Vestuário,26,195.06,0,0
2023-01-08,L003,P007,Alimentos,109,134.28,0,0
2023-01-08,L003,P008,Brinquedos,89,58.28,0,0
2023-01-08,L003,P009,Higiene,244,27.09,0,0
2023-01-08,L003,P010,Brinquedos,48,177.09,0,0
2023-01-08,L004,P001,Eletrônicos,21,53.9,0,0
2023-01-08,L004,P002,Higiene,182,29.43,0,0
2023-01-08,L004,P003,Brinquedos,151,134.08,0,0
2023-01-08,L004,P004,Vestuário,64,52.18,0,0
2023-01-08,L004,P005,Vestuário,43,55.67,0,0
2023-01-08,L004,P006,Higiene,135,122.01,0,0
2023-01-08,L004,P007,Brinquedos,19,126.37,0,0
2023-01-08,L004,P008,Vestuário,200,150.88,1,1
2023-01-08,L004,P009,Vestuário,86,178.04,0,0
2023-01-08,L004,P010,Higiene,55,97.13,1,1
2023-01-08,L005,P001,Alimentos,89,62.08,0,1
2023-01-08,L005,P002,Higiene,127,155.26,0,0
2023-01-08,L005,P003,Eletrônicos,32,76.09,0,0
2023-01-08,L005,P004,Brinquedos,277,60.66,1,1
2023-01-08,L005,P005,Vestuário,211,165.45,0,0
2023-01-08,L005,P006,Eletrônicos,168,191.96,1,0
2023-01-08,L005,P007,Brinquedos,207,61.28,1,1
2023-01-08,L005,P008,Alimentos,144,53.26,0,0
2023-01-08,L005,P009,Vestuário,142,87.12,0,0
2023-01-08,L005,P010,Alimentos,98,133.76,0,0
2023-01-15,L001,P001,Vestuário,182,43.22,0,0
2023-01-15,L001,P002,Brinquedos,250,110.71,0,1
2023-01-15,L001,P003,Brinquedos,73,80.88,0,0
2023-01-15,L001,P004,Alimentos,142,163.76,0,0
2023-01-15,L001,P005,Vestuário,30,189.16,0,0
2023-01-15,L001,P006,Brinquedos,196,29.34,1,0
2023-01-15,L001,P007,Alimentos,26,179.33,1,0
2023-01-15,L001,P008,Higiene,133,105.55,0,0
2023-01-15,L001,P009,Alimentos,114,62.85,1,0
2023-01-15,L001,P010,Alimentos,54,53.42,0,0
2023-01-15,L002,P001,Brinquedos,147,113.37,0,0
2023-01-15,L002,P002,Brinquedos,146,76.14,0,0
2023-01-15,L002,P003,Vestuário,239,91.06,1,0
2023-01-15,L002,P004,Alimentos,361,57.13,1,0
2023-01-15,L002,P005,Brinquedos,128,112.01,0,0
2023-01-15,L002,P006,Brinquedos,209,159.57,1,0
2023-01-15,L002,P007,Brinquedos,170,152.99,0,0
2023-01-15,L002,P008,Brinquedos,89,61.67,0,0
2023-01-15,L002,P009,Eletrônicos,62,91.57,1,0
2023-01-15,L002,P010,Brinquedos,195,173.27,0,0
2023-01-15,L003,P001,Vestuário,368,115.78,1,1
2023-01-15,L003,P002,Higiene,35,100.51,1,0
2023-01-15,L003,P003,Vestuário,92,47.2,0,0
2023-01-15,L003,P004,Alimentos,185,192.54,0,0
2023-01-15,L003,P005,Eletrônicos,29,170.76,0,0
2023-01-15,L003,P006,Brinquedos,46,70.39,0,0
